date,money
2012-08-24,23.9
2012-08-25,19
2012-08-26,13.2
2012-08-27,21
2012-08-28,17
2012-08-29,18.4
2012-08-30,16.4
2012-08-31,15.3
2012-09-01,30.8
2012-09-02,22.8
2012-09-03,154.5
2012-09-04,20
2012-09-05,18.4
2012-09-06,20.4
2012-09-07,19.7
2012-09-08,121
2012-09-09,19
2012-09-10,18.4
2012-09-11,105.4
2012-09-12,32.3
2012-09-13,20.4
2012-09-14,16.1
2012-09-15,90.7
2012-09-16,33
2012-09-17,15.8
2012-09-18,17.5
2012-09-19,21.1
2012-09-20,10.1
2012-09-21,17.6
2012-09-22,260
2012-09-23,53.7
2012-09-24,15.4
2012-09-25,24.4
2012-09-26,20
2012-09-27,17.4
2012-09-28,2408
2012-09-29,16.6
2012-09-30,174.5
2012-10-01,12
2012-10-02,54
2012-10-03,15
2012-10-04,17.5
2012-10-05,15
2012-10-06,19
2012-10-07,16
2012-10-08,18.3
2012-10-09,20.8
2012-10-10,17.4
2012-10-11,17.9
2012-10-12,23.7
2012-10-13,31.6
2012-10-14,16
2012-10-15,22.5
2012-10-16,25.1
2012-10-17,21.4
2012-10-18,17.7
2012-10-19,16.5
2012-10-20,18.5
2012-10-21,18
2012-10-22,18.4
2012-10-23,21.1
2012-10-24,16.1
2012-10-25,15.8
2012-10-26,17.9
2012-10-27,532
2012-10-28,16
2012-10-29,19.3
2012-10-30,16.4
2012-10-31,17.7
2012-11-01,16.6
2012-11-02,17
2012-11-03,17
2012-11-04,25.4
2012-11-05,17.7
2012-11-06,22.9
2012-11-07,17.4
2012-11-08,16.6
2012-11-09,17.6
2012-11-10,16
2012-11-11,16
2012-11-12,16.3
2012-11-13,17.3
2012-11-14,9.3
2012-11-15,16.5
2012-11-16,19.4
2012-11-17,22.5
2012-11-18,15
2012-11-19,19.4
2012-11-20,20.7
2012-11-21,14.6
2012-11-23,16.7
2012-11-25,17
2012-11-26,20.6
2012-11-27,20.7
2012-11-28,13.7
2012-11-29,19.4
2012-11-30,77.7
2012-12-01,10.5
2012-12-02,8
2012-12-03,17
2012-12-04,18.2
2012-12-05,18.1
2012-12-06,17
2012-12-07,17.8
2012-12-09,12
2012-12-10,21.2
2012-12-11,18.7
2012-12-12,19.7
2012-12-13,26.6
2012-12-14,16.4
2012-12-15,34.5
2012-12-16,18.5
2012-12-17,17.4
2012-12-18,117.7
2012-12-19,20.3
2012-12-20,22.8
2012-12-21,17.7
2012-12-22,16
2012-12-23,11
2012-12-24,19.7
2012-12-25,20.7
2012-12-26,16.2
2012-12-27,22
2012-12-28,16.6
2012-12-29,26.5
2012-12-30,8
2012-12-31,21
2013-01-01,24.5
2013-01-02,7
2013-01-03,15
2013-01-04,8.8
2013-01-05,16.5
2013-01-06,125.4
2013-01-07,16.8
2013-01-08,44.2
2013-01-09,16.8
